Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident
AERO COMMANDER 200D,12,12,2.0,2.0,2.0,9.0,AERO COMMANDER,0.16666666666666666
HUGHES 369E,12,12,0.0,0.0,6.0,20.0,HUGHES,0.0
PIPER PA-17,12,12,2.0,2.0,0.0,15.0,PIPER,0.16666666666666666
VANS RV4,12,12,5.0,5.0,4.0,5.0,VANS,0.4166666666666667
CESSNA 320D,12,12,31.0,31.0,0.0,4.0,CESSNA,2.5833333333333335
PIPER PA-44-180T,12,12,3.0,3.0,3.0,23.0,PIPER,0.25
CESSNA 320E,12,12,12.0,12.0,5.0,4.0,CESSNA,1.0
PIPER PA-22-20,11,11,2.0,2.0,5.0,10.0,PIPER,0.18181818181818182
VANS RV8,11,11,4.0,4.0,2.0,8.0,VANS,0.36363636363636365
BOEING STEARMAN A75N1,11,11,2.0,2.0,3.0,16.0,BOEING STEARMAN,0.18181818181818182
DIAMOND AIRCRAFT IND INC DA 20 C1,11,11,0.0,0.0,0.0,16.0,DIAMOND AIRCRAFT IND INC,0.0
AMERICAN AVIATION CORP. (AAC) AA-1A,11,11,5.0,5.0,5.0,6.0,AMERICAN AVIATION CORP. (AAC),0.45454545454545453
NAVION G,11,11,7.0,7.0,4.0,3.0,NAVION,0.6363636363636364
BEECH B95,11,11,12.0,12.0,1.0,10.0,BEECH,1.0909090909090908
BEECH B60,11,10,11.0,11.0,0.0,12.0,BEECH,1.1
SCHWEIZER 2-33A,11,11,0.0,0.0,2.0,10.0,SCHWEIZER,0.0
BRANTLY B-2B,11,11,4.0,4.0,3.0,7.0,BRANTLY,0.36363636363636365
CESSNA 320C,11,11,12.0,12.0,0.0,17.0,CESSNA,1.0909090909090908
CESSNA T210G,11,11,9.0,9.0,6.0,9.0,CESSNA,0.8181818181818182
SWEARINGEN SA-226T,11,11,1.0,1.0,1.0,35.0,SWEARINGEN,0.09090909090909091
FLIGHT DESIGN CTLS,11,10,1.0,1.0,3.0,9.0,FLIGHT DESIGN,0.1
BLANIK L-13,11,11,1.0,1.0,5.0,10.0,BLANIK,0.09090909090909091
MCDONNELL DOUGLAS 369E,11,11,4.0,4.0,6.0,7.0,MCDONNELL DOUGLAS,0.36363636363636365
AVIAT A-1A,11,10,1.0,1.0,2.0,11.0,AVIAT,0.1
CHRISTEN INDUSTRIES A-1,11,11,1.0,1.0,0.0,13.0,CHRISTEN INDUSTRIES,0.09090909090909091
CESSNA C172,11,11,0.0,0.0,4.0,15.0,CESSNA,0.0
PITTS S2B,11,11,2.0,2.0,1.0,11.0,PITTS,0.18181818181818182
CHRISTEN INDUSTRIES PITTS S-2B,11,11,8.0,8.0,0.0,12.0,CHRISTEN INDUSTRIES,0.7272727272727273
BRANTLY HELICOPTER B-2,11,11,3.0,3.0,4.0,10.0,BRANTLY HELICOPTER,0.2727272727272727
CESSNA 337D,11,10,6.0,6.0,1.0,19.0,CESSNA,0.6
BOEING E75N1,11,11,2.0,2.0,4.0,13.0,BOEING,0.18181818181818182
CESSNA 337B,11,10,3.0,3.0,1.0,14.0,CESSNA,0.3
MOONEY M20G,11,11,2.0,2.0,7.0,8.0,MOONEY,0.18181818181818182
CESSNA 310H,11,11,21.0,21.0,2.0,5.0,CESSNA,1.9090909090909092
PIPER PA-30B,11,11,5.0,5.0,1.0,13.0,PIPER,0.45454545454545453
SCHWEIZER SGS 1-26B,11,11,3.0,3.0,1.0,6.0,SCHWEIZER,0.2727272727272727
ENSTROM F28C,11,10,4.0,4.0,3.0,4.0,ENSTROM,0.4
RAVEN S-60A,11,11,1.0,1.0,8.0,22.0,RAVEN,0.09090909090909091
DIAMOND AIRCRAFT INDUSTRIES DA 20-A1,11,11,0.0,0.0,7.0,9.0,DIAMOND AIRCRAFT INDUSTRIES,0.0
QUICKIE Q2,11,11,1.0,1.0,2.0,7.0,QUICKIE,0.09090909090909091
SOCATA TB-20,11,11,6.0,6.0,5.0,8.0,SOCATA,0.5454545454545454
SCHLEICHER ASK-21,11,11,4.0,4.0,2.0,14.0,SCHLEICHER,0.36363636363636365
NORTH AMERICAN AT-6G,11,11,0.0,0.0,3.0,15.0,NORTH AMERICAN,0.0
PIPER PA28-161,11,11,10.0,10.0,2.0,10.0,PIPER,0.9090909090909091
ROBINSON R-22A,11,11,1.0,1.0,1.0,13.0,ROBINSON,0.09090909090909091
CZECH SPORT AIRCRAFT AS PIPER SPORT,11,11,4.0,4.0,3.0,7.0,CZECH SPORT AIRCRAFT AS,0.36363636363636365
PIPER PA32-300,10,10,9.0,9.0,3.0,9.0,PIPER,0.9
VANS AIRCRAFT INC RV-12,10,10,4.0,4.0,0.0,7.0,VANS AIRCRAFT INC,0.4
AVIAT PITTS S-2B,10,10,3.0,3.0,1.0,12.0,AVIAT,0.3
AERO COMMANDER 500,10,10,4.0,4.0,1.0,13.0,AERO COMMANDER,0.4
CESSNA 401A,10,10,8.0,8.0,4.0,16.0,CESSNA,0.8
VANS RV 6,10,10,2.0,2.0,2.0,8.0,VANS,0.2
PIPER PA-18-105,10,10,0.0,0.0,0.0,14.0,PIPER,0.0
CIRRUS SR-22,10,10,15.0,15.0,0.0,6.0,CIRRUS,1.5
PIPER PA-18A 150,10,10,0.0,0.0,0.0,14.0,PIPER,0.0
MAULE MX-7-180,10,10,0.0,0.0,2.0,14.0,MAULE,0.0
BEECH E33,10,10,5.0,5.0,1.0,15.0,BEECH,0.5
MAULE M-7-235B,10,10,0.0,0.0,1.0,18.0,MAULE,0.0
PIPER PA-22/20,10,10,0.0,0.0,0.0,13.0,PIPER,0.0
ARTIC AIRCRAFT CORP. S-1B2,10,10,4.0,4.0,0.0,10.0,ARTIC AIRCRAFT CORP.,0.4
BELL 206B3,10,10,0.0,0.0,5.0,19.0,BELL,0.0
HOWARD AIRCRAFT CORP. DGA-15P,10,10,0.0,0.0,0.0,23.0,HOWARD AIRCRAFT CORP.,0.0
AERONCA O-58B,10,10,4.0,4.0,2.0,3.0,AERONCA,0.4
PIPER PA-28-200,10,10,6.0,6.0,8.0,8.0,PIPER,0.6
CESSNA 210J,10,10,2.0,2.0,4.0,8.0,CESSNA,0.2
CESSNA 210H,10,10,13.0,13.0,2.0,6.0,CESSNA,1.3
SMITH AEROSTAR 601P,10,10,8.0,8.0,1.0,6.0,SMITH,0.8
PIPER PA30,10,10,7.0,7.0,1.0,9.0,PIPER,0.7
CESSNA 525A,10,10,4.0,4.0,3.0,33.0,CESSNA,0.4
BELLANCA 14-13,10,10,1.0,1.0,3.0,10.0,BELLANCA,0.1
BEECH 95B55,10,10,11.0,11.0,1.0,6.0,BEECH,1.1
CESSNA P206B,10,10,10.0,10.0,9.0,13.0,CESSNA,1.0
PIPER PA22-150,10,10,4.0,4.0,8.0,10.0,PIPER,0.4
MITSUBISHI MU-2B-40,10,10,10.0,10.0,4.0,15.0,MITSUBISHI,1.0
RAVEN S55A,10,10,0.0,0.0,6.0,13.0,RAVEN,0.0
ERCOUPE (ENG & RESEARCH CORP.) 415-CD,10,10,4.0,4.0,0.0,8.0,ERCOUPE (ENG & RESEARCH CORP.),0.4
PIPER PA24-250,10,10,1.0,1.0,2.0,11.0,PIPER,0.1
CESSNA T210H,10,10,0.0,0.0,7.0,16.0,CESSNA,0.0
CESSNA T210J,10,10,7.0,7.0,4.0,5.0,CESSNA,0.7
MOONEY AIRPLANE CO INC M20TN,10,10,1.0,1.0,2.0,8.0,MOONEY AIRPLANE CO INC,0.1
NAVAL AIRCRAFT FACTORY N3N-3,10,10,2.0,2.0,2.0,11.0,NAVAL AIRCRAFT FACTORY,0.2
PIPER PA28-181,10,10,6.0,6.0,3.0,13.0,PIPER,0.6
GRUMMAN AA-1,10,10,5.0,5.0,3.0,5.0,GRUMMAN,0.5
MOONEY M-20F,10,10,2.0,2.0,5.0,19.0,MOONEY,0.2
BEECH BE-77,10,10,1.0,1.0,5.0,9.0,BEECH,0.1
PIPER PA 16,10,10,0.0,0.0,0.0,12.0,PIPER,0.0
BEECH C-45H,10,10,0.0,0.0,4.0,24.0,BEECH,0.0
ENSTROM F28A,10,10,0.0,0.0,2.0,13.0,ENSTROM,0.0
PIPER PA 18-135,10,10,0.0,0.0,1.0,11.0,PIPER,0.0
PILATUS PC-12/45,10,10,27.0,27.0,2.0,25.0,PILATUS,2.7
GULFSTREAM AMERICAN AA-5A,10,10,9.0,9.0,5.0,5.0,GULFSTREAM AMERICAN,0.9
PITTS S-2A,10,10,3.0,3.0,3.0,12.0,PITTS,0.3
PIPER PA-39,10,10,4.0,4.0,1.0,13.0,PIPER,0.4
MAULE MXT-7-180A,10,10,2.0,2.0,1.0,12.0,MAULE,0.2
