Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident
GRUMMAN AMERICAN AA-1C,19,19,8.0,8.0,9.0,12.0,GRUMMAN AMERICAN,0.42105263157894735
BEECH D55,19,19,22.0,22.0,0.0,23.0,BEECH,1.1578947368421053
RYAN ST3KR,19,19,6.0,6.0,8.0,16.0,RYAN,0.3157894736842105
CESSNA 310D,19,19,12.0,12.0,8.0,22.0,CESSNA,0.631578947368421
TAYLORCRAFT DCO-65,19,19,2.0,2.0,8.0,15.0,TAYLORCRAFT,0.10526315789473684
PIPER PA38,19,19,8.0,8.0,5.0,17.0,PIPER,0.42105263157894735
REPUBLIC RC-3,19,19,4.0,4.0,8.0,17.0,REPUBLIC,0.21052631578947367
CESSNA 401,19,18,16.0,16.0,6.0,31.0,CESSNA,0.8888888888888888
CESSNA 180G,19,19,5.0,5.0,3.0,25.0,CESSNA,0.2631578947368421
CESSNA 411,19,18,15.0,15.0,4.0,21.0,CESSNA,0.8333333333333334
CESSNA 175B,19,19,6.0,6.0,10.0,18.0,CESSNA,0.3157894736842105
CESSNA P206,19,19,19.0,19.0,4.0,17.0,CESSNA,1.0
AERONCA 7DC,19,19,3.0,3.0,1.0,22.0,AERONCA,0.15789473684210525
PIPER PA 24-250,19,19,9.0,9.0,10.0,18.0,PIPER,0.47368421052631576
RAYTHEON AIRCRAFT COMPANY A36,19,19,16.0,16.0,5.0,23.0,RAYTHEON AIRCRAFT COMPANY,0.8421052631578947
PIPER PA 30,19,19,6.0,6.0,5.0,21.0,PIPER,0.3157894736842105
CESSNA 305,18,18,2.0,2.0,3.0,22.0,CESSNA,0.1111111111111111
MAULE M-4-210C,18,18,5.0,5.0,3.0,22.0,MAULE,0.2777777777777778
BRANTLY HELICOPTER B-2B,18,18,0.0,0.0,2.0,25.0,BRANTLY HELICOPTER,0.0
CHAMPION 7GCB,18,18,0.0,0.0,2.0,24.0,CHAMPION,0.0
HILLER UH-12C,18,18,0.0,0.0,5.0,22.0,HILLER,0.0
BEECH A23-19,18,18,2.0,2.0,4.0,16.0,BEECH,0.1111111111111111
CUBCRAFTERS INC CC11-160,18,18,0.0,0.0,2.0,19.0,CUBCRAFTERS INC,0.0
ROBINSON HELICOPTER COMPANY R22,18,18,2.0,2.0,5.0,22.0,ROBINSON HELICOPTER COMPANY,0.1111111111111111
PIPER PA32RT,18,18,9.0,9.0,0.0,34.0,PIPER,0.5
BEECH D95A,18,18,14.0,14.0,1.0,16.0,BEECH,0.7777777777777778
FAIRCHILD HILLER FH-1100,18,18,10.0,10.0,4.0,13.0,FAIRCHILD HILLER,0.5555555555555556
BEECH E35,18,18,6.0,6.0,10.0,13.0,BEECH,0.3333333333333333
PIPER PA-46-500TP,18,16,12.0,12.0,0.0,29.0,PIPER,0.75
GRUMMAN AA5,18,18,4.0,4.0,14.0,17.0,GRUMMAN,0.2222222222222222
ROCKWELL 114,18,17,22.0,22.0,5.0,20.0,ROCKWELL,1.2941176470588236
CESSNA TU206F,18,18,4.0,4.0,17.0,25.0,CESSNA,0.2222222222222222
CESSNA 208B,17,16,28.0,28.0,1.0,38.0,CESSNA,1.75
PIPER PA-28-201T,17,17,12.0,12.0,4.0,22.0,PIPER,0.7058823529411765
BEECH 65,17,17,18.0,18.0,4.0,32.0,BEECH,1.0588235294117647
CESSNA 500,17,17,22.0,22.0,3.0,27.0,CESSNA,1.2941176470588236
CESSNA 207,17,17,8.0,8.0,7.0,24.0,CESSNA,0.47058823529411764
ROBINSON HELICOPTER R22,17,17,0.0,0.0,1.0,22.0,ROBINSON HELICOPTER,0.0
TAYLORCRAFT F-19,17,17,2.0,2.0,4.0,13.0,TAYLORCRAFT,0.11764705882352941
MAULE MX-7-235,17,17,1.0,1.0,4.0,20.0,MAULE,0.058823529411764705
VARGA 2150A,17,17,4.0,4.0,6.0,11.0,VARGA,0.23529411764705882
MOONEY M-20C,17,17,13.0,13.0,2.0,18.0,MOONEY,0.7647058823529411
YAKOVLEV YAK 52,17,17,17.0,17.0,0.0,8.0,YAKOVLEV,1.0
MAULE M5,17,17,3.0,3.0,1.0,22.0,MAULE,0.17647058823529413
SCHWEIZER SGS 1-26E,17,17,2.0,2.0,1.0,6.0,SCHWEIZER,0.11764705882352941
AVIAT A1,17,17,1.0,1.0,3.0,14.0,AVIAT,0.058823529411764705
BEECH B200,17,13,7.0,7.0,5.0,46.0,BEECH,0.5384615384615384
CESSNA 150A,17,17,5.0,5.0,5.0,13.0,CESSNA,0.29411764705882354
SCHWEIZER SGS 1-34,17,17,4.0,4.0,0.0,10.0,SCHWEIZER,0.23529411764705882
AERO COMMANDER 112,17,17,12.0,12.0,4.0,17.0,AERO COMMANDER,0.7058823529411765
ROBINSON R22A,17,17,7.0,7.0,4.0,19.0,ROBINSON,0.4117647058823529
CESSNA T210K,16,16,7.0,7.0,11.0,23.0,CESSNA,0.4375
PIPER PA-15,16,16,3.0,3.0,4.0,16.0,PIPER,0.1875
BEECH 35-A33,16,16,1.0,1.0,9.0,21.0,BEECH,0.0625
BEECH 19,16,16,2.0,2.0,3.0,18.0,BEECH,0.125
ROCKWELL 112TC,16,16,22.0,22.0,8.0,12.0,ROCKWELL,1.375
AERONCA 7CCM,16,16,5.0,5.0,3.0,13.0,AERONCA,0.3125
RYAN NAVION A,16,16,8.0,8.0,16.0,5.0,RYAN,0.5
GRUMMAN AA5B,16,16,6.0,6.0,2.0,21.0,GRUMMAN,0.375
HILLER UH-12B,16,16,0.0,0.0,3.0,18.0,HILLER,0.0
BEECH 58TC,16,16,21.0,21.0,2.0,21.0,BEECH,1.3125
BEECH BE-35,16,16,10.0,10.0,1.0,23.0,BEECH,0.625
CESSNA 180C,16,15,0.0,0.0,2.0,26.0,CESSNA,0.0
BELLANCA 17-31A,16,15,12.0,12.0,6.0,9.0,BELLANCA,0.8
CESSNA 172SP,16,16,3.0,3.0,2.0,21.0,CESSNA,0.1875
NORTH AMERICAN T-28B,16,16,11.0,11.0,6.0,7.0,NORTH AMERICAN,0.6875
CESSNA 210G,16,16,6.0,6.0,7.0,17.0,CESSNA,0.375
BELL 47G-3B-1,16,16,2.0,2.0,0.0,19.0,BELL,0.125
BELL 407,16,15,6.0,6.0,1.0,28.0,BELL,0.4
TAYLORCRAFT F19,16,16,2.0,2.0,2.0,16.0,TAYLORCRAFT,0.125
TEMCO GC-1B,16,15,2.0,2.0,4.0,14.0,TEMCO,0.13333333333333333
MAULE MX7,16,16,0.0,0.0,1.0,18.0,MAULE,0.0
BEECH 95-B55 (T42A),16,16,5.0,5.0,3.0,13.0,BEECH,0.3125
HILLER UH-12E,16,16,3.0,3.0,4.0,21.0,HILLER,0.1875
CESSNA 560,15,12,26.0,26.0,1.0,27.0,CESSNA,2.1666666666666665
CHAMPION 7AC,15,15,4.0,4.0,3.0,13.0,CHAMPION,0.26666666666666666
MOONEY M-20J,15,15,8.0,8.0,1.0,13.0,MOONEY,0.5333333333333333
AMERICAN CHAMPION AIRCRAFT 8KCAB,15,15,7.0,7.0,1.0,11.0,AMERICAN CHAMPION AIRCRAFT,0.4666666666666667
PIPER PA-31T1,15,14,14.0,14.0,0.0,35.0,PIPER,1.0
PIPER PA-31-310,15,15,10.0,10.0,10.0,25.0,PIPER,0.6666666666666666
CESSNA 310I,15,15,14.0,14.0,3.0,19.0,CESSNA,0.9333333333333333
BEECH D17S,15,15,1.0,1.0,3.0,26.0,BEECH,0.06666666666666667
GRUMMAN G-44,15,15,1.0,1.0,6.0,18.0,GRUMMAN,0.06666666666666667
BEECH 95-55,15,15,19.0,19.0,4.0,13.0,BEECH,1.2666666666666666
GULFSTREAM AMERICAN AA-5B,15,15,6.0,6.0,6.0,20.0,GULFSTREAM AMERICAN,0.4
AERO COMMANDER 100-180,15,15,6.0,6.0,6.0,21.0,AERO COMMANDER,0.4
