Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident,Accident.Severity
STINSON 108-3,97,96,19.0,19.0,38.0,100.0,STINSON,0.19791666666666666,Medium
STINSON 108,96,96,13.0,13.0,30.0,91.0,STINSON,0.13541666666666666,Low
CESSNA 172E,95,94,20.0,20.0,47.0,110.0,CESSNA,0.2127659574468085,Medium
PIPER PA-24-180,95,94,74.0,74.0,16.0,122.0,PIPER,0.7872340425531915,High
ROBINSON HELICOPTER R22 BETA,95,95,12.0,12.0,13.0,96.0,ROBINSON HELICOPTER,0.12631578947368421,Low
CESSNA 195,95,95,22.0,22.0,12.0,136.0,CESSNA,0.23157894736842105,Medium
BEECH 23,94,93,29.0,29.0,27.0,113.0,BEECH,0.3118279569892473,Medium
ROBINSON HELICOPTER COMPANY R44 II,93,92,21.0,21.0,16.0,123.0,ROBINSON HELICOPTER COMPANY,0.22826086956521738,Medium
PIPER PA-22-160,92,92,9.0,9.0,23.0,117.0,PIPER,0.09782608695652174,Low
PIPER PA-22-108,92,92,14.0,14.0,13.0,92.0,PIPER,0.15217391304347827,Low
CESSNA 340A,91,91,96.0,96.0,16.0,83.0,CESSNA,1.054945054945055,High
CESSNA R172K,90,90,42.0,42.0,32.0,104.0,CESSNA,0.4666666666666667,Medium
BOEING A75N1,89,88,4.0,4.0,15.0,126.0,BOEING,0.045454545454545456,Low
CESSNA 180H,89,89,11.0,11.0,20.0,131.0,CESSNA,0.12359550561797752,Low
STINSON 108-1,85,84,10.0,10.0,18.0,124.0,STINSON,0.11904761904761904,Low
PIPER PA-28R-201T,83,82,38.0,38.0,17.0,109.0,PIPER,0.4634146341463415,Medium
STINSON 108-2,82,82,21.0,21.0,19.0,93.0,STINSON,0.25609756097560976,Medium
PIPER PA-46-310P,81,77,68.0,68.0,21.0,97.0,PIPER,0.8831168831168831,High
PIPER PA-32R-301T,80,79,75.0,75.0,16.0,96.0,PIPER,0.9493670886075949,High
AERONCA 11AC,79,77,18.0,18.0,15.0,76.0,AERONCA,0.23376623376623376,Medium
PIPER PA18,79,79,7.0,7.0,6.0,83.0,PIPER,0.08860759493670886,Low
LUSCOMBE 8E,78,78,12.0,12.0,19.0,75.0,LUSCOMBE,0.15384615384615385,Low
PIPER PA-28R-201,78,78,26.0,26.0,24.0,111.0,PIPER,0.3333333333333333,Medium
CESSNA 172D,78,78,20.0,20.0,20.0,94.0,CESSNA,0.2564102564102564,Medium
CESSNA 421B,77,74,74.0,74.0,11.0,267.0,CESSNA,1.0,High
PIPER PA-22-135,77,77,16.0,16.0,22.0,74.0,PIPER,0.2077922077922078,Medium
CIRRUS SR22,76,74,35.0,35.0,8.0,82.0,CIRRUS,0.47297297297297297,Medium
BELLANCA 8GCBC,76,76,15.0,15.0,13.0,82.0,BELLANCA,0.19736842105263158,Medium
BEECH V35,76,73,79.0,79.0,18.0,57.0,BEECH,1.082191780821918,High
CESSNA 182J,75,75,22.0,22.0,18.0,102.0,CESSNA,0.29333333333333333,Medium
CESSNA 182G,75,75,26.0,26.0,21.0,86.0,CESSNA,0.3466666666666667,Medium
CESSNA 180J,75,74,13.0,13.0,8.0,106.0,CESSNA,0.17567567567567569,Medium
CESSNA 414,74,72,67.0,67.0,26.0,89.0,CESSNA,0.9305555555555556,High
HUGHES 269A,74,73,8.0,8.0,18.0,85.0,HUGHES,0.1095890410958904,Low
BEECH A36TC,73,71,79.0,79.0,22.0,60.0,BEECH,1.1126760563380282,High
CESSNA 180K,73,73,12.0,12.0,13.0,102.0,CESSNA,0.1643835616438356,Low
