Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident,Accident.Severity
BEECH B23,34,34,14.0,14.0,9.0,32.0,BEECH,0.4117647058823529,Medium
AERONCA 7BCM,34,34,5.0,5.0,8.0,27.0,AERONCA,0.14705882352941177,Low
CESSNA 177A,34,34,8.0,8.0,17.0,38.0,CESSNA,0.23529411764705882,Medium
PIPER PA 28-140,34,34,8.0,8.0,16.0,22.0,PIPER,0.23529411764705882,Medium
MOONEY M20R,34,33,13.0,13.0,5.0,35.0,MOONEY,0.3939393939393939,Medium
BEECH C-23,34,34,1.0,1.0,17.0,39.0,BEECH,0.029411764705882353,Low
BEECH V35A,34,34,18.0,18.0,10.0,28.0,BEECH,0.5294117647058824,Medium
PIPER PA 12,34,34,2.0,2.0,2.0,47.0,PIPER,0.058823529411764705,Low
CHAMPION 7FC,33,33,3.0,3.0,9.0,27.0,CHAMPION,0.09090909090909091,Low
BALLOON WORKS FIREFLY 7,33,33,3.0,3.0,5.0,64.0,BALLOON WORKS,0.09090909090909091,Low
CIRRUS DESIGN CORP. SR22,33,30,19.0,19.0,14.0,39.0,CIRRUS DESIGN CORP.,0.6333333333333333,High
ENSTROM 280C,33,33,10.0,10.0,6.0,39.0,ENSTROM,0.30303030303030304,Medium
CESSNA 210A,33,33,7.0,7.0,3.0,45.0,CESSNA,0.21212121212121213,Medium
AERONCA 15AC,33,33,2.0,2.0,7.0,39.0,AERONCA,0.06060606060606061,Low
PIPER PA 28-180,32,31,13.0,13.0,10.0,33.0,PIPER,0.41935483870967744,Medium
PIPER PA28-140,32,32,11.0,11.0,15.0,26.0,PIPER,0.34375,Medium
CESSNA 180B,32,32,10.0,10.0,4.0,42.0,CESSNA,0.3125,Medium
BEECH 55,32,31,7.0,7.0,3.0,53.0,BEECH,0.22580645161290322,Medium
BEECH 95,32,32,30.0,30.0,10.0,30.0,BEECH,0.9375,High
MOONEY M20A,31,31,15.0,15.0,14.0,18.0,MOONEY,0.4838709677419355,Medium
CESSNA 210E,31,31,16.0,16.0,5.0,47.0,CESSNA,0.5161290322580645,Medium
CESSNA 210B,31,31,17.0,17.0,13.0,30.0,CESSNA,0.5483870967741935,Medium
BEECH 35-B33,31,31,18.0,18.0,9.0,34.0,BEECH,0.5806451612903226,Medium
CESSNA 441,31,28,34.0,34.0,3.0,54.0,CESSNA,1.2142857142857142,High
LAKE LA-4,31,31,5.0,5.0,8.0,42.0,LAKE,0.16129032258064516,Low
CESSNA 310C,31,31,11.0,11.0,12.0,39.0,CESSNA,0.3548387096774194,Medium
PIPER PA 46-350P,31,30,21.0,21.0,0.0,57.0,PIPER,0.7,High
ENSTROM F-28A,31,29,2.0,2.0,7.0,42.0,ENSTROM,0.06896551724137931,Low
CESSNA T310R,30,30,23.0,23.0,4.0,37.0,CESSNA,0.7666666666666667,High
SOCATA TBM 700,30,30,33.0,33.0,13.0,34.0,SOCATA,1.1,High
MAULE M-5-210C,30,30,6.0,6.0,1.0,52.0,MAULE,0.2,Medium
AVIAT A-1B,30,30,3.0,3.0,3.0,35.0,AVIAT,0.1,Low
BEECH N35,30,30,25.0,25.0,6.0,25.0,BEECH,0.8333333333333334,High
BEECH F35,30,30,22.0,22.0,5.0,23.0,BEECH,0.7333333333333333,High
CESSNA 175A,30,30,13.0,13.0,8.0,34.0,CESSNA,0.43333333333333335,Medium
BOEING E75,30,30,1.0,1.0,9.0,40.0,BOEING,0.03333333333333333,Low
BEECH 95-A55,30,29,24.0,24.0,67.0,31.0,BEECH,0.8275862068965517,High
CESSNA 150C,30,30,3.0,3.0,5.0,33.0,CESSNA,0.1,Low
BELL 47D1,29,29,6.0,6.0,5.0,29.0,BELL,0.20689655172413793,Medium
BOEING A75N1(PT17),29,29,0.0,0.0,8.0,39.0,BOEING,0.0,Low
AMERICAN AA-1,29,29,4.0,4.0,16.0,12.0,AMERICAN,0.13793103448275862,Low
BEECH C90,29,27,21.0,21.0,4.0,41.0,BEECH,0.7777777777777778,High
GRUMMAN AMERICAN AA-5,29,28,28.0,28.0,7.0,25.0,GRUMMAN AMERICAN,1.0,High
PIPER PA32R,29,29,17.0,17.0,12.0,28.0,PIPER,0.5862068965517241,Medium
BEECH A24R,29,29,21.0,21.0,13.0,25.0,BEECH,0.7241379310344828,High
CESSNA A152,29,29,17.0,17.0,4.0,18.0,CESSNA,0.5862068965517241,Medium
BEECH 35-C33,28,28,17.0,17.0,7.0,34.0,BEECH,0.6071428571428571,High
CESSNA 310J,28,26,4.0,4.0,6.0,95.0,CESSNA,0.15384615384615385,Low
NORTH AMERICAN NAVION,28,28,10.0,10.0,12.0,30.0,NORTH AMERICAN,0.35714285714285715,Medium
BELL 206L-1,28,28,9.0,9.0,13.0,42.0,BELL,0.32142857142857145,Medium
CESSNA 205,28,28,24.0,24.0,13.0,33.0,CESSNA,0.8571428571428571,High
CESSNA 337,28,28,12.0,12.0,18.0,23.0,CESSNA,0.42857142857142855,Medium
PIPER J3,28,28,4.0,4.0,4.0,30.0,PIPER,0.14285714285714285,Low
PIPER PA-32,28,28,11.0,11.0,11.0,48.0,PIPER,0.39285714285714285,Medium
CESSNA 185E,28,28,0.0,0.0,9.0,42.0,CESSNA,0.0,Low
PIPER PA34,27,27,26.0,26.0,5.0,25.0,PIPER,0.9629629629629629,High
PIPER PA-34,27,25,25.0,25.0,2.0,45.0,PIPER,1.0,High
CESSNA T337G,27,27,26.0,26.0,4.0,18.0,CESSNA,0.9629629629629629,High
SCHLEICHER ASW-20,27,27,9.0,9.0,3.0,13.0,SCHLEICHER,0.3333333333333333,Medium
PIPER PA-18-160,27,27,1.0,1.0,2.0,36.0,PIPER,0.037037037037037035,Low
PIPER PA28-151,27,27,4.0,4.0,15.0,39.0,PIPER,0.14814814814814814,Low
PIPER PA 28-181,27,27,8.0,8.0,9.0,32.0,PIPER,0.2962962962962963,Medium
WACO UPF-7,27,27,2.0,2.0,13.0,39.0,WACO,0.07407407407407407,Low
PITTS S-2B,26,26,11.0,11.0,3.0,30.0,PITTS,0.4230769230769231,Medium
AVIAT A-1,26,26,5.0,5.0,3.0,28.0,AVIAT,0.19230769230769232,Medium
CESSNA 195B,26,26,1.0,1.0,5.0,31.0,CESSNA,0.038461538461538464,Low
BELL 206,26,26,17.0,17.0,3.0,34.0,BELL,0.6538461538461539,High
MOONEY AIRCRAFT CORP. M20K,26,26,6.0,6.0,8.0,25.0,MOONEY AIRCRAFT CORP.,0.23076923076923078,Medium
CESSNA T303,26,26,25.0,25.0,4.0,25.0,CESSNA,0.9615384615384616,High
CESSNA 172 M,26,26,4.0,4.0,7.0,37.0,CESSNA,0.15384615384615385,Low
CESSNA 550,26,22,12.0,12.0,6.0,85.0,CESSNA,0.5454545454545454,Medium
PIPER PA-28R,26,25,11.0,11.0,2.0,44.0,PIPER,0.44,Medium
BEECH B24R,25,25,17.0,17.0,10.0,24.0,BEECH,0.68,High
BEECH A23A,25,24,6.0,6.0,3.0,30.0,BEECH,0.25,Medium
CONSOLIDATED AERONAUTICS INC. LAKE LA-4-200,25,25,0.0,0.0,10.0,16.0,CONSOLIDATED AERONAUTICS INC.,0.0,Low
CESSNA A150L,25,25,13.0,13.0,4.0,14.0,CESSNA,0.52,Medium
PIPER PA-18A-150,25,25,7.0,7.0,3.0,22.0,PIPER,0.28,Medium
CESSNA 310N,25,25,17.0,17.0,10.0,34.0,CESSNA,0.68,High
CESSNA 310K,25,25,21.0,21.0,5.0,28.0,CESSNA,0.84,High
CESSNA 425,25,25,28.0,28.0,8.0,40.0,CESSNA,1.12,High
BELLANCA 7GCAA,25,25,7.0,7.0,7.0,24.0,BELLANCA,0.28,Medium
PIPER PA-31P,25,24,28.0,28.0,7.0,17.0,PIPER,1.1666666666666667,High
PIPER PA-60-601P,25,25,34.0,34.0,1.0,25.0,PIPER,1.36,High
MAULE M-5,24,24,7.0,7.0,7.0,33.0,MAULE,0.2916666666666667,Medium
HELIO H-295,24,24,2.0,2.0,4.0,43.0,HELIO,0.08333333333333333,Low
PIPER J5A,24,24,9.0,9.0,1.0,24.0,PIPER,0.375,Medium
MAULE M-6-235,24,24,6.0,6.0,3.0,28.0,MAULE,0.25,Medium
GRUMMAN AA-1B,24,24,7.0,7.0,11.0,13.0,GRUMMAN,0.2916666666666667,Medium
ALON A2,24,24,4.0,4.0,7.0,19.0,ALON,0.16666666666666666,Low
NORTH AMERICAN SNJ-5,24,24,11.0,11.0,1.0,19.0,NORTH AMERICAN,0.4583333333333333,Medium
PIPER PA-31T,24,23,33.0,33.0,11.0,54.0,PIPER,1.434782608695652,High
CESSNA 320,24,24,10.0,10.0,3.0,26.0,CESSNA,0.4166666666666667,Medium
ERCOUPE (ENG & RESEARCH CORP.) 415C,24,24,6.0,6.0,8.0,23.0,ERCOUPE (ENG & RESEARCH CORP.),0.25,Medium
BEECH D35,24,24,7.0,7.0,9.0,22.0,BEECH,0.2916666666666667,Medium
NORTH AMERICAN AT-6D,23,23,10.0,10.0,4.0,19.0,NORTH AMERICAN,0.43478260869565216,Medium
CESSNA 172XP,23,22,5.0,5.0,4.0,36.0,CESSNA,0.22727272727272727,Medium
CESSNA A150M,23,23,4.0,4.0,5.0,22.0,CESSNA,0.17391304347826086,Medium
MAULE M-7-235,23,23,5.0,5.0,8.0,33.0,MAULE,0.21739130434782608,Medium
BEECH 60,23,23,16.0,16.0,7.0,22.0,BEECH,0.6956521739130435,High
PIPER PA-32R,23,22,4.0,4.0,7.0,46.0,PIPER,0.18181818181818182,Medium
AERONCA 7EC,23,23,5.0,5.0,2.0,31.0,AERONCA,0.21739130434782608,Medium
PIPER PA 18,23,23,0.0,0.0,2.0,25.0,PIPER,0.0,Low
GRUMMAN AA-5,23,22,6.0,6.0,10.0,24.0,GRUMMAN,0.2727272727272727,Medium
CESSNA 310L,23,23,6.0,6.0,3.0,45.0,CESSNA,0.2608695652173913,Medium
FLIGHT DESIGN GMBH CTSW,23,23,2.0,2.0,3.0,20.0,FLIGHT DESIGN GMBH,0.08695652173913043,Low
CESSNA 337G,22,22,20.0,20.0,12.0,14.0,CESSNA,0.9090909090909091,High
PIPER PA-31,22,21,14.0,14.0,10.0,52.0,PIPER,0.6666666666666666,High
PIPER PA 28,22,22,0.0,0.0,8.0,28.0,PIPER,0.0,Low
PIPER PA-28-150,22,22,1.0,1.0,5.0,22.0,PIPER,0.045454545454545456,Low
NORTH AMERICAN T-6G,22,22,13.0,13.0,3.0,21.0,NORTH AMERICAN,0.5909090909090909,Medium
CESSNA 525,22,19,27.0,27.0,2.0,48.0,CESSNA,1.4210526315789473,High
PIPER PA-32-301T,22,22,19.0,19.0,2.0,39.0,PIPER,0.8636363636363636,High
DIAMOND AIRCRAFT IND INC DA 40,22,21,6.0,6.0,5.0,28.0,DIAMOND AIRCRAFT IND INC,0.2857142857142857,Medium
MOONEY M20B,22,22,12.0,12.0,9.0,15.0,MOONEY,0.5454545454545454,Medium
CESSNA C-152,22,22,4.0,4.0,2.0,27.0,CESSNA,0.18181818181818182,Medium
CIRRUS SR20,22,21,12.0,12.0,3.0,18.0,CIRRUS,0.5714285714285714,Medium
BELLANCA 17-31ATC,22,22,18.0,18.0,1.0,24.0,BELLANCA,0.8181818181818182,High
CESSNA 210K,21,21,19.0,19.0,2.0,29.0,CESSNA,0.9047619047619048,High
CESSNA 190,21,21,4.0,4.0,6.0,35.0,CESSNA,0.19047619047619047,Medium
ROCKWELL 112A,21,21,5.0,5.0,6.0,33.0,ROCKWELL,0.23809523809523808,Medium
NAVION A,21,21,5.0,5.0,9.0,22.0,NAVION,0.23809523809523808,Medium
CESSNA A150K,21,21,12.0,12.0,1.0,14.0,CESSNA,0.5714285714285714,Medium
BEECH BE-23,21,21,4.0,4.0,9.0,27.0,BEECH,0.19047619047619047,Medium
EVEKTOR-AEROTECHNIK AS SPORTSTAR,21,21,0.0,0.0,2.0,25.0,EVEKTOR-AEROTECHNIK AS,0.0,Low
FLIGHT DESIGN GMBH CTLS,21,20,2.0,2.0,3.0,17.0,FLIGHT DESIGN GMBH,0.1,Low
CESSNA R172E,21,21,2.0,2.0,5.0,22.0,CESSNA,0.09523809523809523,Low
BEECH B-60,21,21,18.0,18.0,1.0,26.0,BEECH,0.8571428571428571,High
CESSNA 150B,20,20,4.0,4.0,5.0,21.0,CESSNA,0.2,Medium
ROBINSON R44 II,20,20,17.0,17.0,5.0,25.0,ROBINSON,0.85,High
MOONEY M20D,20,20,8.0,8.0,10.0,17.0,MOONEY,0.4,Medium
BOEING A75,20,20,3.0,3.0,8.0,18.0,BOEING,0.15,Low
PIPER PA-24-400,20,20,5.0,5.0,8.0,18.0,PIPER,0.25,Medium
SCHWEIZER SGS-2-33A,20,20,0.0,0.0,6.0,20.0,SCHWEIZER,0.0,Low
PIPER AEROSTAR 601P,20,20,21.0,21.0,8.0,20.0,PIPER,1.05,High
PIPER PA-31-325,20,20,15.0,15.0,6.0,25.0,PIPER,0.75,High
PIPER PA-25-235,20,20,5.0,5.0,1.0,10.0,PIPER,0.25,Medium
ROBINSON R-44,20,19,16.0,16.0,2.0,19.0,ROBINSON,0.8421052631578947,High
CESSNA T210F,20,20,10.0,10.0,4.0,15.0,CESSNA,0.5,Medium
MAULE M-4,20,20,6.0,6.0,2.0,35.0,MAULE,0.3,Medium
AVIAT AIRCRAFT INC A-1B,20,20,0.0,0.0,2.0,21.0,AVIAT AIRCRAFT INC,0.0,Low
BEECH E-55,20,19,21.0,21.0,9.0,24.0,BEECH,1.105263157894737,High
CESSNA 501,20,19,22.0,22.0,0.0,38.0,CESSNA,1.1578947368421053,High
BEECH 19A,19,19,12.0,12.0,2.0,24.0,BEECH,0.631578947368421,High
BEECH BE-55,19,18,12.0,12.0,1.0,22.0,BEECH,0.6666666666666666,High
CESSNA 152 II,19,19,4.0,4.0,3.0,23.0,CESSNA,0.21052631578947367,Medium
ERCOUPE 415,19,19,1.0,1.0,9.0,13.0,ERCOUPE,0.05263157894736842,Low
PIPER 601P,19,19,18.0,18.0,0.0,36.0,PIPER,0.9473684210526315,High
BEECH BE-58,19,19,12.0,12.0,2.0,26.0,BEECH,0.631578947368421,High
PIPER PA 28-161,19,19,1.0,1.0,3.0,35.0,PIPER,0.05263157894736842,Low
GRUMMAN AMERICAN AA-1C,19,19,8.0,8.0,9.0,12.0,GRUMMAN AMERICAN,0.42105263157894735,Medium
BEECH D55,19,19,22.0,22.0,0.0,23.0,BEECH,1.1578947368421053,High
RYAN ST3KR,19,19,6.0,6.0,8.0,16.0,RYAN,0.3157894736842105,Medium
CESSNA 310D,19,19,12.0,12.0,8.0,22.0,CESSNA,0.631578947368421,High
TAYLORCRAFT DCO-65,19,19,2.0,2.0,8.0,15.0,TAYLORCRAFT,0.10526315789473684,Low
PIPER PA38,19,19,8.0,8.0,5.0,17.0,PIPER,0.42105263157894735,Medium
REPUBLIC RC-3,19,19,4.0,4.0,8.0,17.0,REPUBLIC,0.21052631578947367,Medium
CESSNA 401,19,18,16.0,16.0,6.0,31.0,CESSNA,0.8888888888888888,High
CESSNA 180G,19,19,5.0,5.0,3.0,25.0,CESSNA,0.2631578947368421,Medium
CESSNA 411,19,18,15.0,15.0,4.0,21.0,CESSNA,0.8333333333333334,High
CESSNA 175B,19,19,6.0,6.0,10.0,18.0,CESSNA,0.3157894736842105,Medium
CESSNA P206,19,19,19.0,19.0,4.0,17.0,CESSNA,1.0,High
AERONCA 7DC,19,19,3.0,3.0,1.0,22.0,AERONCA,0.15789473684210525,Low
PIPER PA 24-250,19,19,9.0,9.0,10.0,18.0,PIPER,0.47368421052631576,Medium
RAYTHEON AIRCRAFT COMPANY A36,19,19,16.0,16.0,5.0,23.0,RAYTHEON AIRCRAFT COMPANY,0.8421052631578947,High
PIPER PA 30,19,19,6.0,6.0,5.0,21.0,PIPER,0.3157894736842105,Medium
CESSNA 305,18,18,2.0,2.0,3.0,22.0,CESSNA,0.1111111111111111,Low
MAULE M-4-210C,18,18,5.0,5.0,3.0,22.0,MAULE,0.2777777777777778,Medium
BRANTLY HELICOPTER B-2B,18,18,0.0,0.0,2.0,25.0,BRANTLY HELICOPTER,0.0,Low
CHAMPION 7GCB,18,18,0.0,0.0,2.0,24.0,CHAMPION,0.0,Low
HILLER UH-12C,18,18,0.0,0.0,5.0,22.0,HILLER,0.0,Low
BEECH A23-19,18,18,2.0,2.0,4.0,16.0,BEECH,0.1111111111111111,Low
CUBCRAFTERS INC CC11-160,18,18,0.0,0.0,2.0,19.0,CUBCRAFTERS INC,0.0,Low
ROBINSON HELICOPTER COMPANY R22,18,18,2.0,2.0,5.0,22.0,ROBINSON HELICOPTER COMPANY,0.1111111111111111,Low
PIPER PA32RT,18,18,9.0,9.0,0.0,34.0,PIPER,0.5,Medium
BEECH D95A,18,18,14.0,14.0,1.0,16.0,BEECH,0.7777777777777778,High
FAIRCHILD HILLER FH-1100,18,18,10.0,10.0,4.0,13.0,FAIRCHILD HILLER,0.5555555555555556,Medium
BEECH E35,18,18,6.0,6.0,10.0,13.0,BEECH,0.3333333333333333,Medium
PIPER PA-46-500TP,18,16,12.0,12.0,0.0,29.0,PIPER,0.75,High
GRUMMAN AA5,18,18,4.0,4.0,14.0,17.0,GRUMMAN,0.2222222222222222,Medium
ROCKWELL 114,18,17,22.0,22.0,5.0,20.0,ROCKWELL,1.2941176470588236,High
CESSNA TU206F,18,18,4.0,4.0,17.0,25.0,CESSNA,0.2222222222222222,Medium
CESSNA 208B,17,16,28.0,28.0,1.0,38.0,CESSNA,1.75,High
PIPER PA-28-201T,17,17,12.0,12.0,4.0,22.0,PIPER,0.7058823529411765,High
BEECH 65,17,17,18.0,18.0,4.0,32.0,BEECH,1.0588235294117647,High
CESSNA 500,17,17,22.0,22.0,3.0,27.0,CESSNA,1.2941176470588236,High
CESSNA 207,17,17,8.0,8.0,7.0,24.0,CESSNA,0.47058823529411764,Medium
ROBINSON HELICOPTER R22,17,17,0.0,0.0,1.0,22.0,ROBINSON HELICOPTER,0.0,Low
TAYLORCRAFT F-19,17,17,2.0,2.0,4.0,13.0,TAYLORCRAFT,0.11764705882352941,Low
MAULE MX-7-235,17,17,1.0,1.0,4.0,20.0,MAULE,0.058823529411764705,Low
VARGA 2150A,17,17,4.0,4.0,6.0,11.0,VARGA,0.23529411764705882,Medium
MOONEY M-20C,17,17,13.0,13.0,2.0,18.0,MOONEY,0.7647058823529411,High
YAKOVLEV YAK 52,17,17,17.0,17.0,0.0,8.0,YAKOVLEV,1.0,High
MAULE M5,17,17,3.0,3.0,1.0,22.0,MAULE,0.17647058823529413,Medium
SCHWEIZER SGS 1-26E,17,17,2.0,2.0,1.0,6.0,SCHWEIZER,0.11764705882352941,Low
AVIAT A1,17,17,1.0,1.0,3.0,14.0,AVIAT,0.058823529411764705,Low
BEECH B200,17,13,7.0,7.0,5.0,46.0,BEECH,0.5384615384615384,Medium
CESSNA 150A,17,17,5.0,5.0,5.0,13.0,CESSNA,0.29411764705882354,Medium
SCHWEIZER SGS 1-34,17,17,4.0,4.0,0.0,10.0,SCHWEIZER,0.23529411764705882,Medium
AERO COMMANDER 112,17,17,12.0,12.0,4.0,17.0,AERO COMMANDER,0.7058823529411765,High
ROBINSON R22A,17,17,7.0,7.0,4.0,19.0,ROBINSON,0.4117647058823529,Medium
CESSNA T210K,16,16,7.0,7.0,11.0,23.0,CESSNA,0.4375,Medium
PIPER PA-15,16,16,3.0,3.0,4.0,16.0,PIPER,0.1875,Medium
BEECH 35-A33,16,16,1.0,1.0,9.0,21.0,BEECH,0.0625,Low
BEECH 19,16,16,2.0,2.0,3.0,18.0,BEECH,0.125,Low
ROCKWELL 112TC,16,16,22.0,22.0,8.0,12.0,ROCKWELL,1.375,High
AERONCA 7CCM,16,16,5.0,5.0,3.0,13.0,AERONCA,0.3125,Medium
RYAN NAVION A,16,16,8.0,8.0,16.0,5.0,RYAN,0.5,Medium
GRUMMAN AA5B,16,16,6.0,6.0,2.0,21.0,GRUMMAN,0.375,Medium
HILLER UH-12B,16,16,0.0,0.0,3.0,18.0,HILLER,0.0,Low
BEECH 58TC,16,16,21.0,21.0,2.0,21.0,BEECH,1.3125,High
BEECH BE-35,16,16,10.0,10.0,1.0,23.0,BEECH,0.625,High
CESSNA 180C,16,15,0.0,0.0,2.0,26.0,CESSNA,0.0,Low
BELLANCA 17-31A,16,15,12.0,12.0,6.0,9.0,BELLANCA,0.8,High
CESSNA 172SP,16,16,3.0,3.0,2.0,21.0,CESSNA,0.1875,Medium
NORTH AMERICAN T-28B,16,16,11.0,11.0,6.0,7.0,NORTH AMERICAN,0.6875,High
CESSNA 210G,16,16,6.0,6.0,7.0,17.0,CESSNA,0.375,Medium
BELL 47G-3B-1,16,16,2.0,2.0,0.0,19.0,BELL,0.125,Low
BELL 407,16,15,6.0,6.0,1.0,28.0,BELL,0.4,Medium
TAYLORCRAFT F19,16,16,2.0,2.0,2.0,16.0,TAYLORCRAFT,0.125,Low
TEMCO GC-1B,16,15,2.0,2.0,4.0,14.0,TEMCO,0.13333333333333333,Low
MAULE MX7,16,16,0.0,0.0,1.0,18.0,MAULE,0.0,Low
BEECH 95-B55 (T42A),16,16,5.0,5.0,3.0,13.0,BEECH,0.3125,Medium
HILLER UH-12E,16,16,3.0,3.0,4.0,21.0,HILLER,0.1875,Medium
CESSNA 560,15,12,26.0,26.0,1.0,27.0,CESSNA,2.1666666666666665,High
CHAMPION 7AC,15,15,4.0,4.0,3.0,13.0,CHAMPION,0.26666666666666666,Medium
MOONEY M-20J,15,15,8.0,8.0,1.0,13.0,MOONEY,0.5333333333333333,Medium
AMERICAN CHAMPION AIRCRAFT 8KCAB,15,15,7.0,7.0,1.0,11.0,AMERICAN CHAMPION AIRCRAFT,0.4666666666666667,Medium
PIPER PA-31T1,15,14,14.0,14.0,0.0,35.0,PIPER,1.0,High
PIPER PA-31-310,15,15,10.0,10.0,10.0,25.0,PIPER,0.6666666666666666,High
CESSNA 310I,15,15,14.0,14.0,3.0,19.0,CESSNA,0.9333333333333333,High
BEECH D17S,15,15,1.0,1.0,3.0,26.0,BEECH,0.06666666666666667,Low
GRUMMAN G-44,15,15,1.0,1.0,6.0,18.0,GRUMMAN,0.06666666666666667,Low
BEECH 95-55,15,15,19.0,19.0,4.0,13.0,BEECH,1.2666666666666666,High
GULFSTREAM AMERICAN AA-5B,15,15,6.0,6.0,6.0,20.0,GULFSTREAM AMERICAN,0.4,Medium
AERO COMMANDER 100-180,15,15,6.0,6.0,6.0,21.0,AERO COMMANDER,0.4,Medium
TAYLORCRAFT BC12D,15,15,0.0,0.0,1.0,21.0,TAYLORCRAFT,0.0,Low
BELL 206L-3,15,15,8.0,8.0,8.0,27.0,BELL,0.5333333333333333,Medium
PIPER PA-18-125,15,15,9.0,9.0,2.0,10.0,PIPER,0.6,High
PIPER PA-18-180,15,15,2.0,2.0,1.0,20.0,PIPER,0.13333333333333333,Low
BEECH 35-33,15,15,10.0,10.0,2.0,13.0,BEECH,0.6666666666666666,High
DIAMOND AIRCRAFT IND INC DA 20-C1,15,14,2.0,2.0,4.0,12.0,DIAMOND AIRCRAFT IND INC,0.14285714285714285,Low
CESSNA 180D,15,15,2.0,2.0,3.0,23.0,CESSNA,0.13333333333333333,Low
DIAMOND DA20,15,15,1.0,1.0,5.0,19.0,DIAMOND,0.06666666666666667,Low
FLIGHT DESIGN CTSW,15,15,2.0,2.0,1.0,14.0,FLIGHT DESIGN,0.13333333333333333,Low
I.C.A. BRASOV IS-28B2,15,15,2.0,2.0,3.0,12.0,I.C.A. BRASOV,0.13333333333333333,Low
ENSTROM F-28F,14,14,2.0,2.0,8.0,12.0,ENSTROM,0.14285714285714285,Low
BEECH 65-A90,14,14,11.0,11.0,2.0,31.0,BEECH,0.7857142857142857,High
CESSNA 185A,14,14,4.0,4.0,1.0,22.0,CESSNA,0.2857142857142857,Medium
PIPER PA 28R-200,14,14,4.0,4.0,2.0,19.0,PIPER,0.2857142857142857,Medium
CESSNA T182,14,14,6.0,6.0,1.0,14.0,CESSNA,0.42857142857142855,Medium
AEROTEK PITTS S-2A,14,14,9.0,9.0,3.0,17.0,AEROTEK,0.6428571428571429,High
CESSNA 402,14,14,12.0,12.0,0.0,27.0,CESSNA,0.8571428571428571,High
TAYLORCRAFT BL-65,14,14,3.0,3.0,8.0,9.0,TAYLORCRAFT,0.21428571428571427,Medium
BELL 47G2,14,14,3.0,3.0,5.0,14.0,BELL,0.21428571428571427,Medium
BEECH F33,14,14,11.0,11.0,0.0,19.0,BEECH,0.7857142857142857,High
BURKHART GROB G103,14,14,0.0,0.0,3.0,16.0,BURKHART GROB,0.0,Low
SCHWEIZER SGS 2-33,14,14,0.0,0.0,3.0,13.0,SCHWEIZER,0.0,Low
AERONCA 11BC,14,14,1.0,1.0,3.0,14.0,AERONCA,0.07142857142857142,Low
CIRRUS DESIGN CORP SR22T,14,13,6.0,6.0,4.0,17.0,CIRRUS DESIGN CORP,0.46153846153846156,Medium
AMERICAN AA-1A,14,14,9.0,9.0,8.0,4.0,AMERICAN,0.6428571428571429,High
BEECH E55,14,14,10.0,10.0,3.0,9.0,BEECH,0.7142857142857143,High
PIPER PA-60-602P,14,14,9.0,9.0,1.0,7.0,PIPER,0.6428571428571429,High
PIPER PA 22,14,14,0.0,0.0,0.0,18.0,PIPER,0.0,Low
NORTH AMERICAN P-51D,14,14,10.0,10.0,3.0,14.0,NORTH AMERICAN,0.7142857142857143,High
ROBINSON R22 BETA II,14,14,4.0,4.0,5.0,14.0,ROBINSON,0.2857142857142857,Medium
AMERICAN CHAMPION AIRCRAFT 7GCBC,14,14,5.0,5.0,2.0,15.0,AMERICAN CHAMPION AIRCRAFT,0.35714285714285715,Medium
AMERICAN CHAMPION AIRCRAFT 8GCBC,14,14,1.0,1.0,2.0,13.0,AMERICAN CHAMPION AIRCRAFT,0.07142857142857142,Low
PIPER PA28-180,14,14,1.0,1.0,3.0,20.0,PIPER,0.07142857142857142,Low
CESSNA 310P,14,14,4.0,4.0,3.0,24.0,CESSNA,0.2857142857142857,Medium
BEECH BE-76,14,14,8.0,8.0,3.0,18.0,BEECH,0.5714285714285714,Medium
CESSNA AIRCRAFT CO 162,14,14,1.0,1.0,2.0,11.0,CESSNA AIRCRAFT CO,0.07142857142857142,Low
CIRRUS DESIGN CORP. SR-22,14,13,7.0,7.0,0.0,24.0,CIRRUS DESIGN CORP.,0.5384615384615384,Medium
PIPER PA-46,14,13,8.0,8.0,4.0,62.0,PIPER,0.6153846153846154,High
MAULE M-7-235C,14,14,1.0,1.0,1.0,18.0,MAULE,0.07142857142857142,Low
CESSNA 310B,14,14,5.0,5.0,0.0,27.0,CESSNA,0.35714285714285715,Medium
CESSNA 180F,14,14,5.0,5.0,1.0,17.0,CESSNA,0.35714285714285715,Medium
VANS RV6,14,14,6.0,6.0,7.0,2.0,VANS,0.42857142857142855,Medium
MAULE M-5-180C,14,14,3.0,3.0,1.0,23.0,MAULE,0.21428571428571427,Medium
BEECH B55,14,14,8.0,8.0,1.0,31.0,BEECH,0.5714285714285714,Medium
CESSNA 172Q,14,14,1.0,1.0,4.0,25.0,CESSNA,0.07142857142857142,Low
QUAD CITY CHALLENGER,13,13,6.0,6.0,6.0,3.0,QUAD CITY,0.46153846153846156,Medium
PIPER PA23,13,13,8.0,8.0,1.0,12.0,PIPER,0.6153846153846154,High
THORP T-18,13,13,9.0,9.0,5.0,6.0,THORP,0.6923076923076923,High
SCHWEIZER SGS 2-32,13,13,2.0,2.0,4.0,15.0,SCHWEIZER,0.15384615384615385,Low
