Make,Model,per.Accident.Uninjured,per.A.Minor.Injuries,per.A.Serious.Injuries,per.Accident.Deaths,Aircraft.Accidents,Aircraft.Observations,per.Accident.Severity,Total.Severity,Total.Aircraft.Deaths,Accident.Rate,Mortality.Rate,Survival.Rate
BOEING,737 7H4,106.5,0.9375,0.0625,0.0625,14,16,1.4375,20.125,0.875,0.875,0.0005810575246949448,0.999418942475305
BOEING,737-8H4,106.0,0.625,0.0,0.0,7,8,0.625,4.375,0.0,0.875,0.0,1.0
DOUGLAS,MD-88,105.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,727-224,104.78571428571429,0.2857142857142857,9.357142857142858,9.357142857142858,7,14,75.14285714285714,526.0,65.5,0.5,0.07559145989613388,0.9244085401038661
AIRBUS INDUSTRIE,A320-211,104.44444444444444,0.0,16.666666666666668,16.666666666666668,3,9,133.33333333333334,400.0,50.0,0.3333333333333333,0.12096774193548387,0.8790322580645161
MCDONNELL DOUGLAS,DC-9-82 (MD-82),104.2,5.2,0.0,0.0,4,5,5.2,20.8,0.0,0.8,0.0,1.0
AIRBUS INDUSTRIE,A319 132,104.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
FOKKER,F100,104.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,B767-287ER,104.0,11.0,0.0,0.0,1,1,11.0,11.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,MD-83,103.9090909090909,0.2727272727272727,2.590909090909091,2.590909090909091,8,22,21.0,168.0,20.727272727272727,0.36363636363636365,0.02369077306733167,0.9763092269326683
AIRBUS INDUSTRIE,A-319-112,103.0,2.0,0.0,0.0,1,1,2.0,2.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,MD-80,103.0,3.75,0.0,0.0,7,16,3.75,26.25,0.0,0.4375,0.0,1.0
DOUGLAS,DC-9-82,103.0,0.3333333333333333,0.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0
AIRBUS INDUSTRIE,A-320-231,102.6,2.2,0.0,0.0,3,5,2.2,6.6000000000000005,0.0,0.6,0.0,1.0
MCDONNELL DOUGLAS,MD-88,102.04761904761905,0.6666666666666666,0.09523809523809523,0.09523809523809523,12,21,1.4285714285714286,17.142857142857142,1.1428571428571428,0.5714285714285714,0.000925497454881999,0.999074502545118
BOEING,727-200,101.48837209302326,1.0,1.2093023255813953,1.2093023255813953,23,43,10.674418604651162,245.51162790697674,27.813953488372093,0.5348837209302325,0.011527377521613832,0.9884726224783862
BOEING,727-223,100.77777777777777,1.6666666666666667,7.833333333333333,7.833333333333333,7,18,64.33333333333333,450.3333333333333,54.83333333333333,0.3888888888888889,0.06632173095014111,0.9336782690498588
BOEING,767-200,100.28571428571429,1.0,0.0,0.0,4,7,1.0,4.0,0.0,0.5714285714285714,0.0,1.0
MCDONNELL DOUGLAS,MD-11,99.71794871794872,9.948717948717949,0.1282051282051282,0.1282051282051282,22,39,10.974358974358974,241.43589743589743,2.8205128205128203,0.5641025641025641,0.0011663167716351763,0.9988336832283649
BOEING,777,99.14736842105263,0.24210526315789474,0.0,0.0,23,95,0.24210526315789474,5.568421052631579,0.0,0.24210526315789474,0.0,1.0
BOEING,777 - 236,98.5,0.5,0.0,0.0,1,2,0.5,0.5,0.0,0.5,0.0,1.0
EMBRAER,EMB 145LR,98.5,0.0,0.0,0.0,2,4,0.0,0.0,0.0,0.5,0.0,1.0
BOEING,737-3G7,98.0,0.5,0.0,0.0,2,2,0.5,1.0,0.0,1.0,0.0,1.0
AIRBUS,A330-243,97.33333333333333,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
AIRBUS,321,96.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.5,0.0,1.0
